,Monday_6:30,Monday_7:30,Monday_8:30,Monday_9:30,Tuesday_6:30,Tuesday_7:30,Tuesday_8:30,Tuesday_9:30,Wednesday_6:30,Wednesday_7:30,Wednesday_8:30,Wednesday_9:30,Thursday_6:30,Thursday_7:30,Thursday_8:30,Thursday_9:30
ref1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ref2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
ref3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ref4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref5,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
ref6,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
ref7,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
ref8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ref9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref10,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
ref11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ref12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ref14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref15,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
ref16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref17,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
ref18,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
ref19,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
ref20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref21,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
ref22,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
ref23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
ref24,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
ref25,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
ref26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ref27,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ref31,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
ref32,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref33,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
ref34,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
